"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","10","311-20.0KHRCT-ND","RC0603FR-0720KL","RES 20K OHM 1% 1/10W 0603","","10","0","0.01600","0.16"
"2","10","P698KHCT-ND","ERJ-3EKF6983V","RES SMD 698K OHM 1% 1/10W 0603","","10","0","0.05400","0.54"
"3","10","541-5283-1-ND","CRCW0603249KFKEAC","RES 249K OHM 1% 1/10W 0603","","10","0","0.04600","0.46"
"4","10","541-1.80MHCT-ND","CRCW06031M80FKEA","RES SMD 1.8M OHM 1% 1/8W 0603","","10","0","0.04800","0.48"
"5","10","A129679CT-ND","CRGCQ0603F180R","RES 180 OHM 1% 1/10W 0603","","10","0","0.04400","0.44"
"6","30","RMCF0603FT100KCT-ND","RMCF0603FT100K","RES 100K OHM 1% 1/10W 0603","","30","0","0.01280","0.38"
"7","10","1276-1946-1-ND","CL10B105KP8NNNC","CAP CER 1UF 10V X7R 0603","","10","0","0.00700","0.07"
"8","2","296-1336-1-ND","TLC555CDR","IC OSC SGL TIMER 2.1MHZ 8-SOIC","","2","0","1.24000","2.48"
"9","3","1497-1219-1-ND","XZVG68W-2","LED GREEN CLEAR CHIP SMD","","3","0","0.40000","1.20"
"10","3","350-4452-1-ND","5988A90107F","LED BLUE 470NM 0402 SMD","","3","0","0.46000","1.38"
"11","2","DMG1012UW-7DICT-ND","DMG1012UW-7","MOSFET N-CH 20V 1A SOT323","","2","0","0.42000","0.84"
"12","10","RMCF0603FT49K9CT-ND","RMCF0603FT49K9","RES 49.9K OHM 1% 1/10W 0603","","10","0","0.03200","0.32"

